classifier,dataset,accuracy,duration_sec,co2_kg
Nearest Neighbors,Linear,1.0,0.001,4.046115664982422e-06
Linear SVM,Linear,1.0,0.0018,4.056615531808572e-06
RBF SVM,Linear,1.0,0.001,4.052878884240933e-06
Gaussian Process,Linear,1.0,0.0623,4.354985690732458e-06
Decision Tree,Linear,1.0,0.0012,4.045651211448249e-06
Random Forest,Linear,1.0,0.0098,4.081733707524929e-06
Neural Network,Linear,1.0,0.0944,4.4335037396419655e-06
AdaBoost,Linear,1.0,0.0026,4.0406393106210695e-06
Naive Bayes,Linear,1.0,0.001,4.055146663099804e-06
QDA,Linear,1.0,0.001,4.041389459176425e-06
Nearest Neighbors,Moons,0.975,0.0007,4.059438950161486e-06
Linear SVM,Moons,0.875,0.0015,4.063209174476167e-06
RBF SVM,Moons,0.975,0.0009,4.063528716423906e-06
Gaussian Process,Moons,0.975,0.0559,4.362432261041102e-06
Decision Tree,Moons,0.95,0.0008,4.0461627437184605e-06
Random Forest,Moons,0.95,0.0117,4.120825985277293e-06
Neural Network,Moons,0.9,0.1151,4.536261980487707e-06
AdaBoost,Moons,0.925,0.05,4.2438413315849246e-06
Naive Bayes,Moons,0.875,0.0008,4.0523827101693826e-06
QDA,Moons,0.85,0.0006,4.048442827140185e-06
Nearest Neighbors,Circles,0.925,0.0007,4.049084672517466e-06
Linear SVM,Circles,0.4,0.0014,2.837710477138628e-08
RBF SVM,Circles,0.875,0.0021,4.061581241664872e-06
Gaussian Process,Circles,0.9,0.1404,3.3198771841720265e-08
Decision Tree,Circles,0.775,0.001,4.099143852532342e-06
Random Forest,Circles,0.75,0.0128,4.112836553849133e-06
Neural Network,Circles,0.875,0.139,4.61357278330094e-06
AdaBoost,Circles,0.85,0.0534,4.267886569367896e-06
Naive Bayes,Circles,0.7,0.0009,4.043537593272376e-06
QDA,Circles,0.725,0.0007,4.029513843714719e-06
